Store name,Address,States,Region,City,Zip_code,LAT,LNG,Instore,Pickup_Curbside,Local_Delivery,Total_Population_2017,Total_Population_2018,Total_Population_2019,Zipcode_Pop_2013,Zipcode_Pop_2014,Zipcode_Pop_2015,Current_Zipcode_Pop,Pop_density,Pop_Growth_per year_from_2010_to_2020,Predicted_Growth_per_year_from_2020_to_2025,Total_Pop growth_2017,Total_ Pop_growth_2018,Total_ Pop_growth_2019,House_Affordability_Index,Male,Female,Median_Age,Male_median_Age,Female_Median_Age,median_Household_income,Average_Home_Value,Median_Home_Value,White,Blacks_African_american ,American_indian,Asian ,Native_Hawaiian,other_race,two_or_more,Competition,HOH_Owner_15-24,HOH_Owner_25-34,HOH_Owner_35-44,HOH_Owner_45-54,HOH_Owner_55-64,HOH_Owner_65-74,HOH_Owner_75-84,HOH_Owner_85_Plus,HOH_Owner_Total,HOH_Renter_15-24,HOH_Renter_25-34,HOH_Renter_35-44,HOH_Renter_45-54,HOH_Renter_55-64,HOH_Renter_65-74,HOH_Renter_75-84,HOH_Renter_85_Plus,HOH_Renter_Total,Family_Households,Singles_Guardian,Singles,Singles_with_Roomates,Houses_built_2010_0r_later,Studio_Apartment,1_Bedroom,2_Bedroom,3+_Bedroom,Housing_units,Occupied_Housing_Units,Wealth_Index,h_income_<$25k,h_income_$25k,h_income_$45k,h_income_$60k,h_income_$100k,h_income_$150k,h_income_>$200k,Sales_2017,Sales_2018,Sales_2019,Sales_2020
Tennessee Memphis South,7697 Winchester Rd Memphis TN,TN,South,Memphis,38125,35.03,-89.78,1,1,1,935251,936365,937166,38970,39210,38930,36150,1894,0.66%,0.71%,-0.000829342,0.001199853,0.000862731,195,16956,19194,34,32,35,65465,226451,149100,6360,26785,103,1412,22,988,480,6,93,1031,2610,2496,1957,755,244,61,9247,419,1268,1094,602,365,114,50,14,3926,6113,3499,3037,524,84,138,966,1740,1742,14249,13173,70,1595,2555,1885,4572,2247,458,334,6803905.569,7480151.395,7398751.262,7535873.995
Tennessee Mt.Juliet ,535 Pleasant Grove Rd Mount Juliet TN,TN,South,Mount  Juliet,37122,36.2,-86.5,1,1,1,136691,140954,144657,50260,51670,53610,46463,415,3.30%,2.36%,0.036598446,0.037173976,0.032290695,192,22832,23631,39,39,39,72168,307034,211500,41861,2446,192,738,20,430,776,5,96,1581,3273,3806,3024,1789,715,173,14457,178,610,622,483,245,131,121,91,2481,11246,2311,2725,661,514,52,315,774,1295,17942,16943,121,2036,2361,2247,5345,3328,1199,616,,,5332411.987,7164918.302
Tennessee Nashville West,3701 Annex Ave Nashville TN ,TN,South,Nashville,37209,36.15,-86.9,1,1,1,687159,690516,694144,29260,30020,30580,35457,976,2.04%,1.91%,0.002118691,0.005347704,0.005779408,109,18081,17376,32,32,31,43625,370310,170000,21607,9932,158,1621,22,1291,826,8,119,1198,1190,1345,1310,752,577,190,6681,1222,2463,1376,1224,718,281,122,43,7449,4365,2893,5138,1734,29,91,1380,4364,1495,15648,14130,75,3477,3645,2031,2444,1169,471,389,11813809.96,10850819.57,11120074.3,8572427.554
Texas Alliance,2201 Porter Creek Dr Fort Worth TX,TX,Southwest,Fort Worth,76177,32.97,-97.29,1,1,1,2056451,2081446,2102515,10420,11550,12920,4891,339,13.61%,3.60%,0.018099236,0.013752558,0.011592425,202,2440,2451,30,30,30,81755,257066,171300,3676,405,20,324,14,273,179,12,39,476,369,245,139,55,22,0,1345,78,147,130,75,30,7,0,1,468,1068,226,392,127,208,50,250,328,159,2187,1813,89,119,132,431,691,391,75,165,12881768.91,13436064.39,13946247.43,12212851.41
Texas Cedar Park,4801 183A Toll Rd Cedar Park TX ,TX,Southwest,Cedar Park,78613,30.5,-97.82,1,1,1,546251,566463,590551,73320,74830,76750,65099,2318,2.96%,2.72%,0.043700605,0.047414066,0.056506532,170,31834,33265,34,33,35,81928,319427,198900,53725,2461,290,3535,58,2969,2061,10,114,2524,5263,4577,2572,1261,488,114,16913,692,1717,1527,1027,470,284,264,175,6156,13962,3413,4447,1247,880,204,1612,1648,2442,24120,23069,125,2071,2876,3062,6123,5244,2329,1631,14719949.08,15121587.73,15344716.98,12049680.69
Texas College Station,2301 Earl Rudder Fwy College Station TX ,TX,Southwest,College Station,77845,30.5,-96.3,1,1,0,223917,225781,229211,47000,48800,51140,48938,332,3.06%,2.41%,0.021352713,0.009526438,0.017529872,147,24454,24484,29,28,30,70400,315155,189500,40918,2295,175,3080,16,1455,999,10,681,1912,2668,2778,2298,1274,687,125,12423,2306,1584,724,515,282,124,119,74,5728,10230,2077,3369,2475,472,18,635,1944,3501,19141,18151,121,3183,3139,1772,4143,3178,1616,1604,,2977684.387,7356545.194,5966901.432
Texas Conroe,16778 i-45 South Conroe TX,TX,Southwest,Conroe,77384,30.23,-95.5,1,1,1,571615,589770,607391,14260,14770,16450,11857,678,7.31%,4.04%,0.035711486,0.039535461,0.038372589,176,5739,6118,43,41,44,80032,361447,225100,10404,366,75,481,8,310,213,2,12,220,517,724,737,635,407,94,3346,242,536,367,281,237,111,88,52,1914,2806,507,1687,258,280,0,777,842,576,5593,5260,156,534,813,514,1475,1090,456,396,17538894.28,19070456.3,18816776.6,14308467.02
Texas Corpus Christi ,4949 Greenwood Dr Corpus Christi TX,TX,Southwest,Corpus Christi,78416,27.75,-97.44,1,1,0,361235,362026,362294,13080,13070,12860,15508,5282,0.13%,0.20%,-0.001196197,0.002324795,0.000787668,266,7438,8070,37,34,40,27854,85029,62800,11429,1374,97,26,5,2144,433,6,34,234,392,741,692,595,669,254,3611,95,372,276,333,190,118,73,40,1497,2077,1841,995,195,0,0,159,434,858,5540,5108,38,2246,1323,426,761,259,0,12,8525127.948,9799952.371,9937138.608,8288933.011
Texas Cypress ,24340 Northwest Freeway Cypress TX,TX,Southwest,Cypress,77429,29.98,-95.66,1,1,1,4657972,4680045,4713325,78330,79190,81460,72264,1883,2.31%,1.18%,0.008280128,0.005373611,0.008101925,190,35600,36664,35,34,35,96695,342357,187000,56644,5350,371,4239,54,3779,1827,25,180,2768,5411,5704,3789,1678,628,105,20263,452,1160,1025,680,356,168,70,34,3945,16459,3313,3485,951,674,0,910,1642,1634,25165,24208,168,1835,2938,2050,5619,5432,3099,3207,,,6997114.08,8654487.293
Texas El Paso,1120 McRae Blvd El Paso TX,TX,Southwest,El Paso,79925,31.79,-106.38,1,1,1,837401,836825,839238,35590,35860,34610,40641,2402,-0.19%,0.03%,0.00305136,-0.000716796,0.003002827,154,19690,20951,36,33,38,44217,174813,130300,34106,1573,256,516,75,3100,1015,18,40,413,1039,1733,1724,1548,1314,444,8255,1233,2056,1329,1209,748,409,232,112,7328,6692,3701,4423,767,74,725,2100,2655,1667,16253,15583,60,4093,3713,2617,3213,1214,291,120,4839400.596,10127588.59,9156221.856,7597872.13
